Date/Time,Word Count,en,ja,ru
2020.06.11-19.24.23,6,6,0,0
2020.06.11-19.31.03,254,254,0,0
2020.06.15-18.55.21,1958,1958,0,0
2020.06.15-18.58.05,1952,1952,0,0
2020.06.15-19.00.14,253,253,0,0
2020.06.16-01.01.29,253,253,232,232
2020.06.16-01.14.00,253,253,0,232
2020.06.16-01.29.34,253,253,0,253
2020.06.16-09.15.00,253,253,253,253
2020.06.29-22.08.23,275,275,248,248
2020.07.01-13.17.25,275,275,205,205
2020.07.07-13.40.25,511,511,195,195
2020.07.07-13.42.32,511,511,205,205
2020.07.08-11.19.34,511,511,205,215
2020.07.08-11.21.04,511,511,215,215
2020.07.09-08.50.01,511,511,215,448
